id,word,difficulty_value,locale,created_at
1,bee,37,en,2026-01-09 17:37:12.077304+00
2,cat,52,en,2026-01-09 17:37:14.031093+00
3,dog,59,en,2026-01-09 17:37:16.297898+00
4,egg,45,en,2026-01-09 17:37:18.365615+00
5,sun,57,en,2026-01-09 17:37:20.209377+00
6,moon,46,en,2026-01-09 17:37:22.039016+00
7,book,52,en,2026-01-09 17:37:24.26729+00
8,tree,36,en,2026-01-09 17:37:26.223083+00
9,ball,52,en,2026-01-09 17:37:28.149729+00
10,door,45,en,2026-01-09 17:37:30.337819+00
11,fish,58,en,2026-01-09 17:37:32.350056+00
12,milk,65,en,2026-01-09 17:37:34.36192+00
13,rain,53,en,2026-01-09 17:37:36.478037+00
14,star,51,en,2026-01-09 17:37:38.304326+00
15,boat,54,en,2026-01-09 17:37:40.438258+00
16,snow,57,en,2026-01-09 17:37:42.536631+00
17,frog,62,en,2026-01-09 17:37:44.315351+00
18,duck,68,en,2026-01-09 17:37:46.449714+00
19,bear,55,en,2026-01-09 17:37:48.29495+00
20,lion,55,en,2026-01-09 17:37:50.215286+00
21,bird,61,en,2026-01-09 17:37:52.187995+00
22,shoe,51,en,2026-01-09 17:37:54.229352+00
23,hand,55,en,2026-01-09 17:37:56.072459+00
24,foot,44,en,2026-01-09 17:37:58.004713+00
25,nose,50,en,2026-01-09 17:38:00.182175+00
26,cake,58,en,2026-01-09 17:38:02.18646+00
27,bread,58,en,2026-01-09 17:38:04.195227+00
28,chair,58,en,2026-01-09 17:38:06.157897+00
29,table,56,en,2026-01-09 17:38:07.914618+00
30,house,56,en,2026-01-09 17:38:10.086553+00
31,clock,59,en,2026-01-09 17:38:11.820007+00
32,cup,66,en,2026-01-09 17:38:13.66195+00
33,mug,67,en,2026-01-09 17:38:15.567395+00
34,glass,52,en,2026-01-09 17:38:17.571968+00
35,plate,56,en,2026-01-09 17:38:20.523799+00
36,bowl,64,en,2026-01-09 17:38:23.191998+00
37,spoon,50,en,2026-01-09 17:38:25.233681+00
38,fork,63,en,2026-01-09 17:38:27.303067+00
39,knife,60,en,2026-01-09 17:38:29.459741+00
40,pan,55,en,2026-01-09 17:38:31.66839+00
41,pot,53,en,2026-01-09 17:38:33.795987+00
42,oven,55,en,2026-01-09 17:38:35.923593+00
43,stove,55,en,2026-01-09 17:38:37.799731+00
44,grill,55,en,2026-01-09 17:38:40.083483+00
45,lamp,63,en,2026-01-09 17:38:42.485388+00
46,fan,55,en,2026-01-09 17:38:44.450867+00
47,desk,58,en,2026-01-09 17:38:46.436989+00
48,bed,57,en,2026-01-09 17:38:48.433881+00
49,sofa,56,en,2026-01-09 17:38:50.343766+00
50,couch,56,en,2026-01-09 17:38:52.557651+00
51,pillow,59,en,2026-01-09 17:38:54.880753+00
52,sheet,42,en,2026-01-09 17:38:57.557622+00
53,towel,56,en,2026-01-09 17:38:59.978473+00
54,soap,56,en,2026-01-09 17:39:02.435801+00
55,brush,63,en,2026-01-09 17:39:04.276229+00
56,comb,65,en,2026-01-09 17:39:06.173963+00
57,hat,48,en,2026-01-09 17:39:08.095744+00
58,cap,60,en,2026-01-09 17:39:10.252467+00
59,coat,53,en,2026-01-09 17:39:12.670153+00
60,vest,54,en,2026-01-09 17:39:14.509406+00
61,sock,62,en,2026-01-09 17:39:16.384842+00
